PseudoTimeSec,PseudoTimestamp,QX,QY,QZ,QW,AX,AY,AZ
0.01,09-22-2026 22:25:55:329,0.451299995183945,1.24880003929138,-0.221300005912781,0,1.9201,0.4025,-2.9261
0.02,09-22-2026 22:25:55:339,-0.0401000007987022,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.1275,0.6934
0.03,09-22-2026 22:25:55:349,-0.0401000007987022,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.125,0.6934
0.04,09-22-2026 22:25:55:359,-0.0401000007987022,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.12,0.6934
0.05,09-22-2026 22:25:55:369,-0.0401000007987022,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.1125,0.6934
0.06,09-22-2026 22:25:55:379,-0.0439999997615814,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.1075,0.6934
0.07,09-22-2026 22:25:55:389,-0.0439999997615814,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.1025,0.6934
0.08,09-22-2026 22:25:55:399,-0.0439999997615814,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.0975,0.6934
0.09,09-22-2026 22:25:55:409,-0.0439999997615814,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.0925,0.6934
0.1,09-22-2026 22:25:55:419,-0.0439999997615814,0.24549999833107,0.375600010156631,0.888999998569489,-0.3913,0.085,0.6934
0.11,09-22-2026 22:25:55:429,-0.048200000077486,0.244000002741814,0.379700005054474,0.890900015830994,-0.3738,0.0642,0.7173
0.12,09-22-2026 22:25:55:439,-0.0493000000715256,0.24379999935627,0.379700005054474,0.890999972820282,-0.3741,0.0612,0.7269
0.13,09-22-2026 22:25:55:449,-0.0502000004053116,0.243499994277954,0.379700005054474,0.890999972820282,-0.3738,0.0597,0.7347
0.14,09-22-2026 22:25:55:459,-0.0511000007390976,0.243300005793571,0.379700005054474,0.890999972820282,-0.3737,0.0597,0.7416
0.15,09-22-2026 22:25:55:469,-0.0518999993801117,0.243100002408028,0.379700005054474,0.890999972820282,-0.3739,0.0609,0.747
0.16,09-22-2026 22:25:55:479,-0.0524999983608723,0.242899999022484,0.379599988460541,0.890999972820282,-0.3752,0.063,0.7488
0.17,09-22-2026 22:25:55:489,-0.0531000010669231,0.242799997329712,0.379599988460541,0.891099989414215,-0.3773,0.0652,0.7491
0.18,09-22-2026 22:25:55:499,-0.0535000003874302,0.24269999563694,0.37950000166893,0.891099989414215,-0.3779,0.0679,0.747
0.19,09-22-2026 22:25:55:509,-0.0538999997079372,0.242599993944168,0.37950000166893,0.891099989414215,-0.3772,0.07,0.7449
0.2,09-22-2026 22:25:55:519,-0.0542999990284443,0.242500007152557,0.379400014877319,0.891200006008148,-0.3771,0.0723,0.7395
0.21,09-22-2026 22:25:55:529,-0.0555999986827374,0.242300003767014,0.379200011491776,0.891200006008148,-0.3861,0.0856,0.7429
0.22,09-22-2026 22:25:55:539,-0.0559000000357628,0.242300003767014,0.379200011491776,0.891200006008148,-0.3899,0.0898,0.7451
0.23,09-22-2026 22:25:55:549,-0.0562000013887882,0.242200002074242,0.379099994897842,0.891200006008148,-0.3925,0.093,0.7441
0.24,09-22-2026 22:25:55:559,-0.0564000010490417,0.242200002074242,0.379099994897842,0.891200006008148,-0.3943,0.0956,0.7419
0.25,09-22-2026 22:25:55:569,-0.0566000007092953,0.24210000038147,0.379200011491776,0.891200006008148,-0.3949,0.0976,0.7387
0.26,09-22-2026 22:25:55:579,-0.0568000003695488,0.24210000038147,0.379200011491776,0.891200006008148,-0.3955,0.0996,0.7361
0.27,09-22-2026 22:25:55:589,-0.0570000000298023,0.241999998688698,0.379299998283386,0.891099989414215,-0.3969,0.1014,0.7341
0.28,09-22-2026 22:25:55:599,-0.0571000017225742,0.241899996995926,0.379400014877319,0.891099989414215,-0.3985,0.1032,0.7333
0.29,09-22-2026 22:25:55:609,-0.0573000013828278,0.241799995303154,0.379599988460541,0.891099989414215,-0.3989,0.1048,0.7307
0.3,09-22-2026 22:25:55:619,-0.0573999993503094,0.241799995303154,0.379799991846085,0.890999972820282,-0.3989,0.1068,0.7259
0.31,09-22-2026 22:25:55:629,-0.0579000003635883,0.241500005125999,0.381099998950958,0.890500009059906,-0.3916,0.1082,0.7103
0.32,09-22-2026 22:25:55:639,-0.0579999983310699,0.241400003433228,0.381599992513657,0.89029997587204,-0.388,0.105,0.7111
0.33,09-22-2026 22:25:55:649,-0.0581000000238419,0.241300001740456,0.382099986076355,0.890100002288818,-0.3844,0.1012,0.7125
0.34,09-22-2026 22:25:55:659,-0.0582000017166138,0.241300001740456,0.382499992847443,0.889900028705597,-0.3802,0.097,0.7138
0.35,09-22-2026 22:25:55:669,-0.0582999996840954,0.241200000047684,0.382999986410141,0.889699995517731,-0.3763,0.093,0.7147
0.36,09-22-2026 22:25:55:679,-0.0584000013768673,0.241099998354912,0.383500009775162,0.889500021934509,-0.3724,0.0894,0.7139
0.37,09-22-2026 22:25:55:689,-0.0584999993443489,0.24099999666214,0.38400000333786,0.889299988746643,-0.3688,0.0866,0.7124
0.38,09-22-2026 22:25:55:699,-0.0586000010371208,0.240899994969368,0.384400010108948,0.88919997215271,-0.3646,0.085,0.7123
0.39,09-22-2026 22:25:55:709,-0.0586999990046024,0.240700006484985,0.384799987077713,0.888999998569489,-0.3613,0.0842,0.7136
0.4,09-22-2026 22:25:55:719,-0.058899998664856,0.240600004792213,0.385199993848801,0.888899981975555,-0.358,0.0832,0.7157
0.41,09-22-2026 22:25:55:729,-0.0592000000178814,0.23989999294281,0.386000007390976,0.888700008392334,-0.351,0.0854,0.7265
0.42,09-22-2026 22:25:55:739,-0.0593999996781349,0.239600002765656,0.38620001077652,0.888700008392334,-0.3484,0.0846,0.7279
0.43,09-22-2026 22:25:55:749,-0.0595000013709068,0.23929999768734,0.386400014162064,0.888700008392334,-0.3461,0.0846,0.7323
0.44,09-22-2026 22:25:55:759,-0.0595999993383884,0.238900005817413,0.386500000953674,0.888700008392334,-0.3448,0.0848,0.7376
0.45,09-22-2026 22:25:55:769,-0.0595999993383884,0.238600000739098,0.386500000953674,0.888800024986267,-0.3454,0.0854,0.7383
0.46,09-22-2026 22:25:55:779,-0.0597000010311604,0.23819999396801,0.386500000953674,0.888899981975555,-0.3467,0.0874,0.7364
0.47,09-22-2026 22:25:55:789,-0.0597000010311604,0.237900003790855,0.386400014162064,0.888999998569489,-0.3483,0.0906,0.7343
0.48,09-22-2026 22:25:55:799,-0.059799998998642,0.237499997019768,0.38629999756813,0.88919997215271,-0.3502,0.0944,0.7318
0.49,09-22-2026 22:25:55:809,-0.059799998998642,0.237200006842613,0.38620001077652,0.889299988746643,-0.3529,0.0974,0.7295
0.5,09-22-2026 22:25:55:819,-0.0599000006914139,0.236900001764297,0.386000007390976,0.889500021934509,-0.3568,0.1004,0.7289
0.51,09-22-2026 22:25:55:829,-0.0604999996721745,0.23589999973774,0.385199993848801,0.889999985694885,-0.3774,0.1188,0.7271
0.52,09-22-2026 22:25:55:839,-0.060699999332428,0.235699996352196,0.384999990463257,0.890100002288818,-0.382,0.1218,0.7257
0.53,09-22-2026 22:25:55:849,-0.0608999989926815,0.235599994659424,0.384900003671646,0.890200018882751,-0.3862,0.1238,0.7237
0.54,09-22-2026 22:25:55:859,-0.061099998652935,0.235400006175041,0.384900003671646,0.890200018882751,-0.3892,0.1252,0.7219
0.55,09-22-2026 22:25:55:869,-0.0614000000059605,0.235400006175041,0.384999990463257,0.890200018882751,-0.391,0.1262,0.7203
0.56,09-22-2026 22:25:55:879,-0.061599999666214,0.235300004482269,0.38510000705719,0.890200018882751,-0.3922,0.1276,0.7193
0.57,09-22-2026 22:25:55:889,-0.0617999993264675,0.235300004482269,0.385300010442734,0.890100002288818,-0.3932,0.1294,0.7173
0.58,09-22-2026 22:25:55:899,-0.061999998986721,0.235300004482269,0.385600000619888,0.889900028705597,-0.3948,0.1328,0.7161
0.59,09-22-2026 22:25:55:909,-0.062100000679493,0.235400006175041,0.386099994182587,0.889699995517731,-0.3966,0.1364,0.7145
0.6,09-22-2026 22:25:55:919,-0.0623000003397465,0.235400006175041,0.386599987745285,0.889400005340576,-0.3972,0.1414,0.7133
0.61,09-22-2026 22:25:55:929,-0.0627000033855438,0.235599994659424,0.390399992465973,0.887700021266937,-0.3926,0.146,0.7168
0.62,09-22-2026 22:25:55:939,-0.062899999320507,0.235499992966652,0.391799986362457,0.887099981307983,-0.3846,0.135,0.72
0.63,09-22-2026 22:25:55:949,-0.063000001013279,0.235300004482269,0.393200010061264,0.886500000953674,-0.3718,0.118,0.7236
0.64,09-22-2026 22:25:55:959,-0.0631999969482422,0.234999999403954,0.394699990749359,0.885900020599365,-0.359,0.098,0.726
0.65,09-22-2026 22:25:55:969,-0.0635000020265579,0.234599992632866,0.396100014448166,0.885399997234344,-0.3454,0.08,0.7278
0.66,09-22-2026 22:25:55:979,-0.0637999996542931,0.234200000762939,0.39750000834465,0.884800016880035,-0.3342,0.063,0.7308
