PseudoTimeSec,PseudoTimestamp,R,IR
0.01,09-20-2026 18:33:46:547,140517,166260
0.02,09-20-2026 18:33:46:557,98099,185135
0.03,09-20-2026 18:33:46:567,98099,185135
0.04,09-20-2026 18:33:46:577,98099,185286
0.05,09-20-2026 18:33:46:587,98099,185286
0.06,09-20-2026 18:33:46:597,98099,185286
0.07,09-20-2026 18:33:46:607,98099,185286
0.08,09-20-2026 18:33:46:617,98099,185286
0.09,09-20-2026 18:33:46:627,98099,185437
0.1,09-20-2026 18:33:46:637,98099,185437
0.11,09-20-2026 18:33:46:647,98043,166260
0.12,09-20-2026 18:33:46:657,98052,166260
0.13,09-20-2026 18:33:46:667,98062,166411
0.14,09-20-2026 18:33:46:677,98045,166562
0.15,09-20-2026 18:33:46:687,98054,166864
0.16,09-20-2026 18:33:46:697,98068,167015
0.17,09-20-2026 18:33:46:707,98070,167166
0.18,09-20-2026 18:33:46:717,98090,167468
0.19,09-20-2026 18:33:46:727,98073,167619
0.2,09-20-2026 18:33:46:737,98073,167770
0.21,09-20-2026 18:33:46:747,98076,184917
0.22,09-20-2026 18:33:46:757,98086,184943
0.23,09-20-2026 18:33:46:767,98090,184965
0.24,09-20-2026 18:33:46:777,98087,185007
0.25,09-20-2026 18:33:46:787,98102,185017
0.26,09-20-2026 18:33:46:797,98108,185067
0.27,09-20-2026 18:33:46:807,98113,185089
0.28,09-20-2026 18:33:46:817,98101,185133
0.29,09-20-2026 18:33:46:827,98123,185141
0.3,09-20-2026 18:33:46:837,98118,185141
0.31,09-20-2026 18:33:46:847,98012,185216
0.32,09-20-2026 18:33:46:857,98045,185225
0.33,09-20-2026 18:33:46:867,98017,185267
0.34,09-20-2026 18:33:46:877,98038,185291
0.35,09-20-2026 18:33:46:887,98025,185321
0.36,09-20-2026 18:33:46:897,98037,185342
0.37,09-20-2026 18:33:46:907,98020,185402
0.38,09-20-2026 18:33:46:917,98027,185408
0.39,09-20-2026 18:33:46:927,98032,185477
0.4,09-20-2026 18:33:46:937,98034,185477
0.41,09-20-2026 18:33:46:947,98043,185249
0.42,09-20-2026 18:33:46:957,98052,185246
0.43,09-20-2026 18:33:46:967,98062,185240
0.44,09-20-2026 18:33:46:977,98045,185237
0.45,09-20-2026 18:33:46:987,98054,185234
0.46,09-20-2026 18:33:46:997,98068,185231
0.47,09-20-2026 18:33:47:007,98070,185225
0.48,09-20-2026 18:33:47:017,98090,185222
0.49,09-20-2026 18:33:47:027,98073,185219
0.5,09-20-2026 18:33:47:037,98073,185216
0.51,09-20-2026 18:33:47:047,98076,184663
0.52,09-20-2026 18:33:47:057,98086,184699
0.53,09-20-2026 18:33:47:067,98090,184711
0.54,09-20-2026 18:33:47:077,98087,184729
0.55,09-20-2026 18:33:47:087,98102,184765
0.56,09-20-2026 18:33:47:097,98108,184765
0.57,09-20-2026 18:33:47:107,98113,184805
0.58,09-20-2026 18:33:47:117,98101,184849
0.59,09-20-2026 18:33:47:127,98123,184845
0.6,09-20-2026 18:33:47:137,98118,184893
0.61,09-20-2026 18:33:47:147,98012,184917
0.62,09-20-2026 18:33:47:157,98045,184943
0.63,09-20-2026 18:33:47:167,98017,184965
0.64,09-20-2026 18:33:47:177,98038,185007
0.65,09-20-2026 18:33:47:187,98025,185017
0.66,09-20-2026 18:33:47:197,98037,185067
0.67,09-20-2026 18:33:47:207,98020,185089
0.68,09-20-2026 18:33:47:217,98027,185133
0.69,09-20-2026 18:33:47:227,98032,185141
0.7,09-20-2026 18:33:47:237,98034,185141
0.71,09-20-2026 18:33:47:247,98043,185216
0.72,09-20-2026 18:33:47:257,98052,185225
0.73,09-20-2026 18:33:47:267,98062,185267
0.74,09-20-2026 18:33:47:277,98045,185291
0.75,09-20-2026 18:33:47:287,98054,185321
0.76,09-20-2026 18:33:47:297,98068,185342
0.77,09-20-2026 18:33:47:307,98070,185402
0.78,09-20-2026 18:33:47:317,98090,185408
0.79,09-20-2026 18:33:47:327,98073,185477
0.8,09-20-2026 18:33:47:337,98073,185477
0.81,09-20-2026 18:33:47:347,98076,185249
0.82,09-20-2026 18:33:47:357,98086,185246
0.83,09-20-2026 18:33:47:367,98090,185240
0.84,09-20-2026 18:33:47:377,98087,185237
0.85,09-20-2026 18:33:47:387,98102,185234
0.86,09-20-2026 18:33:47:397,98108,185231
0.87,09-20-2026 18:33:47:407,98113,185225
0.88,09-20-2026 18:33:47:417,98101,185222
0.89,09-20-2026 18:33:47:427,98123,185219
0.9,09-20-2026 18:33:47:437,98118,185216
0.91,09-20-2026 18:33:47:447,98012,184663
0.92,09-20-2026 18:33:47:457,98045,184699
0.93,09-20-2026 18:33:47:467,98017,184711
0.94,09-20-2026 18:33:47:477,98038,184729
0.95,09-20-2026 18:33:47:487,98025,184765
0.96,09-20-2026 18:33:47:497,98037,184765
0.97,09-20-2026 18:33:47:507,98020,184805
0.98,09-20-2026 18:33:47:517,98027,184849
0.99,09-20-2026 18:33:47:527,98032,184845
1,09-20-2026 18:33:47:537,98034,184893
1.01,09-20-2026 18:33:47:547,98043,184917
1.02,09-20-2026 18:33:47:557,98052,184943
1.03,09-20-2026 18:33:47:567,98062,184965
1.04,09-20-2026 18:33:47:577,98045,185007
1.05,09-20-2026 18:33:47:587,98054,185017
1.06,09-20-2026 18:33:47:597,98068,185067
1.07,09-20-2026 18:33:47:607,98070,185089
1.08,09-20-2026 18:33:47:617,98090,185133
1.09,09-20-2026 18:33:47:627,98073,185141
1.1,09-20-2026 18:33:47:637,98073,185141
1.11,09-20-2026 18:33:47:647,98076,185216
1.12,09-20-2026 18:33:47:657,98086,185225
1.13,09-20-2026 18:33:47:667,98090,185267
1.14,09-20-2026 18:33:47:677,98087,185291
1.15,09-20-2026 18:33:47:687,98102,185321
1.16,09-20-2026 18:33:47:697,98108,185342
1.17,09-20-2026 18:33:47:707,98113,185402
1.18,09-20-2026 18:33:47:717,98101,185408
1.19,09-20-2026 18:33:47:727,98123,185477
1.2,09-20-2026 18:33:47:737,98118,185477
1.21,09-20-2026 18:33:47:747,98130,185249
1.22,09-20-2026 18:33:47:757,98136,185246
1.23,09-20-2026 18:33:47:767,98134,185240
1.24,09-20-2026 18:33:47:777,98138,185237
1.25,09-20-2026 18:33:47:787,98138,185234
1.26,09-20-2026 18:33:47:797,98159,185231
1.27,09-20-2026 18:33:47:807,98162,185225
1.28,09-20-2026 18:33:47:817,98169,185222
1.29,09-20-2026 18:33:47:827,98178,185219
1.3,09-20-2026 18:33:47:837,98169,185216
1.31,09-20-2026 18:33:47:847,98192,184663
1.32,09-20-2026 18:33:47:857,98180,184699
1.33,09-20-2026 18:33:47:867,98158,184711
1.34,09-20-2026 18:33:47:877,98122,184729
1.35,09-20-2026 18:33:47:887,98092,184765
1.36,09-20-2026 18:33:47:897,98058,184765
1.37,09-20-2026 18:33:47:907,98028,184805
1.38,09-20-2026 18:33:47:917,98020,184849
1.39,09-20-2026 18:33:47:927,97998,184845
1.4,09-20-2026 18:33:47:937,97984,184893
1.41,09-20-2026 18:33:47:947,97984,184917
1.42,09-20-2026 18:33:47:957,97975,184943
1.43,09-20-2026 18:33:47:967,97994,184965
1.44,09-20-2026 18:33:47:977,97978,185007
1.45,09-20-2026 18:33:47:987,97966,185017
1.46,09-20-2026 18:33:47:997,97969,185067
1.47,09-20-2026 18:33:48:007,97974,185089
1.48,09-20-2026 18:33:48:017,97955,185133
1.49,09-20-2026 18:33:48:027,97961,185141
1.5,09-20-2026 18:33:48:037,97954,185141
1.51,09-20-2026 18:33:48:047,97950,185216
1.52,09-20-2026 18:33:48:057,97954,185225
1.53,09-20-2026 18:33:48:067,97943,185267
1.54,09-20-2026 18:33:48:077,97949,185291
1.55,09-20-2026 18:33:48:087,97957,185321
1.56,09-20-2026 18:33:48:097,97952,185342
1.57,09-20-2026 18:33:48:107,97957,185402
1.58,09-20-2026 18:33:48:117,97951,185408
1.59,09-20-2026 18:33:48:127,97945,185477
1.6,09-20-2026 18:33:48:137,97951,185477
1.61,09-20-2026 18:33:48:147,97964,185551
1.62,09-20-2026 18:33:48:157,97944,185557
1.63,09-20-2026 18:33:48:167,97947,185629
1.64,09-20-2026 18:33:48:177,97965,185614
1.65,09-20-2026 18:33:48:187,97943,185725
1.66,09-20-2026 18:33:48:197,97937,185695
1.67,09-20-2026 18:33:48:207,97955,185779
1.68,09-20-2026 18:33:48:217,97944,185779
1.69,09-20-2026 18:33:48:227,97935,185902
1.7,09-20-2026 18:33:48:237,97939,185884
1.71,09-20-2026 18:33:48:247,97955,185935
1.72,09-20-2026 18:33:48:257,97945,185845
1.73,09-20-2026 18:33:48:267,97956,185765
1.74,09-20-2026 18:33:48:277,97970,185505
1.75,09-20-2026 18:33:48:287,97966,185345
1.76,09-20-2026 18:33:48:297,97966,185135
1.77,09-20-2026 18:33:48:307,97965,185035
1.78,09-20-2026 18:33:48:317,97974,184885
1.79,09-20-2026 18:33:48:327,97967,184805
1.8,09-20-2026 18:33:48:337,97973,184715
1.81,09-20-2026 18:33:48:347,97973,184701
1.82,09-20-2026 18:33:48:357,97992,184637
1.83,09-20-2026 18:33:48:367,98002,184651
1.84,09-20-2026 18:33:48:377,97997,184637
1.85,09-20-2026 18:33:48:387,98004,184633
1.86,09-20-2026 18:33:48:397,98022,184623
1.87,09-20-2026 18:33:48:407,97998,184599
1.88,09-20-2026 18:33:48:417,98004,184591
1.89,09-20-2026 18:33:48:427,98008,184547
1.9,09-20-2026 18:33:48:437,98011,184553
1.91,09-20-2026 18:33:48:447,98031,184540
1.92,09-20-2026 18:33:48:457,98032,184538
1.93,09-20-2026 18:33:48:467,98041,184509
1.94,09-20-2026 18:33:48:477,98037,184537
1.95,09-20-2026 18:33:48:487,98031,184528
1.96,09-20-2026 18:33:48:497,98050,184583
1.97,09-20-2026 18:33:48:507,98031,184570
1.98,09-20-2026 18:33:48:517,98055,184585
1.99,09-20-2026 18:33:48:527,98065,184569
2,09-20-2026 18:33:48:537,98052,184593
2.01,09-20-2026 18:33:48:547,98076,184570
2.02,09-20-2026 18:33:48:557,98077,184595
2.03,09-20-2026 18:33:48:567,98076,184570
2.04,09-20-2026 18:33:48:577,98091,184614
2.05,09-20-2026 18:33:48:587,98080,184580
2.06,09-20-2026 18:33:48:597,98089,184614
2.07,09-20-2026 18:33:48:607,98086,184575
2.08,09-20-2026 18:33:48:617,98096,184602
2.09,09-20-2026 18:33:48:627,98110,184589
2.1,09-20-2026 18:33:48:637,98105,184647
2.11,09-20-2026 18:33:48:647,98087,184616
2.12,09-20-2026 18:33:48:657,98049,184670
2.13,09-20-2026 18:33:48:667,98037,184652
2.14,09-20-2026 18:33:48:677,97993,184686
2.15,09-20-2026 18:33:48:687,97973,184704
2.16,09-20-2026 18:33:48:697,97945,184732
2.17,09-20-2026 18:33:48:707,97945,184746
2.18,09-20-2026 18:33:48:717,97917,184808
2.19,09-20-2026 18:33:48:727,97939,184816
2.2,09-20-2026 18:33:48:737,97895,184852
2.21,09-20-2026 18:33:48:747,97910,184861
2.22,09-20-2026 18:33:48:757,97865,184891
2.23,09-20-2026 18:33:48:767,97902,184921
2.24,09-20-2026 18:33:48:777,97863,184945
2.25,09-20-2026 18:33:48:787,97883,184984
2.26,09-20-2026 18:33:48:797,97861,185002
2.27,09-20-2026 18:33:48:807,97896,185035
2.28,09-20-2026 18:33:48:817,97855,185071
2.29,09-20-2026 18:33:48:827,97862,185119
2.3,09-20-2026 18:33:48:837,97837,185167
2.31,09-20-2026 18:33:48:847,97866,185176
2.32,09-20-2026 18:33:48:857,97818,185224
2.33,09-20-2026 18:33:48:867,97865,185245
2.34,09-20-2026 18:33:48:877,97855,185284
2.35,09-20-2026 18:33:48:887,97881,185299
2.36,09-20-2026 18:33:48:897,97847,185347
2.37,09-20-2026 18:33:48:907,97865,185368
2.38,09-20-2026 18:33:48:917,97861,185416
2.39,09-20-2026 18:33:48:927,97875,185461
2.4,09-20-2026 18:33:48:937,97850,185491
2.41,09-20-2026 18:33:48:947,97902,185534
2.42,09-20-2026 18:33:48:957,97870,185561
2.43,09-20-2026 18:33:48:967,97877,185603
2.44,09-20-2026 18:33:48:977,97858,185654
2.45,09-20-2026 18:33:48:987,97887,185690
2.46,09-20-2026 18:33:48:997,97855,185738
2.47,09-20-2026 18:33:49:007,97887,185786
2.48,09-20-2026 18:33:49:017,97880,185813
2.49,09-20-2026 18:33:49:027,97889,185825
2.5,09-20-2026 18:33:49:037,97902,185804
2.51,09-20-2026 18:33:49:047,97885,185656
2.52,09-20-2026 18:33:49:057,97897,185458
2.53,09-20-2026 18:33:49:067,97903,185260
2.54,09-20-2026 18:33:49:077,97909,185089
2.55,09-20-2026 18:33:49:087,97891,184936
2.56,09-20-2026 18:33:49:097,97901,184837
2.57,09-20-2026 18:33:49:107,97904,184702
2.58,09-20-2026 18:33:49:117,97908,184657
2.59,09-20-2026 18:33:49:127,97905,184594
2.6,09-20-2026 18:33:49:137,97935,184594
2.61,09-20-2026 18:33:49:147,97919,184526
2.62,09-20-2026 18:33:49:157,97935,184516
2.63,09-20-2026 18:33:49:167,97928,184506
2.64,09-20-2026 18:33:49:177,97960,184488
2.65,09-20-2026 18:33:49:187,97925,184480
2.66,09-20-2026 18:33:49:197,97952,184454
2.67,09-20-2026 18:33:49:207,97923,184466
2.68,09-20-2026 18:33:49:217,97967,184436
2.69,09-20-2026 18:33:49:227,97926,184418
2.7,09-20-2026 18:33:49:237,97983,184398
2.71,09-20-2026 18:33:49:247,97942,184398
2.72,09-20-2026 18:33:49:257,97967,184399
2.73,09-20-2026 18:33:49:267,97946,184413
2.74,09-20-2026 18:33:49:277,97968,184427
2.75,09-20-2026 18:33:49:287,97968,184428
2.76,09-20-2026 18:33:49:297,97971,184461
2.77,09-20-2026 18:33:49:307,97944,184446
2.78,09-20-2026 18:33:49:317,97982,184467
2.79,09-20-2026 18:33:49:327,97973,184446
2.8,09-20-2026 18:33:49:337,98002,184452
2.81,09-20-2026 18:33:49:347,97995,184465
2.82,09-20-2026 18:33:49:357,98005,184446
2.83,09-20-2026 18:33:49:367,97995,184459
2.84,09-20-2026 18:33:49:377,98013,184471
2.85,09-20-2026 18:33:49:387,98015,184457
2.86,09-20-2026 18:33:49:397,97989,184496
2.87,09-20-2026 18:33:49:407,97963,184500
2.88,09-20-2026 18:33:49:417,97953,184481
2.89,09-20-2026 18:33:49:427,97935,184506
2.9,09-20-2026 18:33:49:437,97885,184533
2.91,09-20-2026 18:33:49:447,97881,184553
2.92,09-20-2026 18:33:49:457,97844,184573
2.93,09-20-2026 18:33:49:467,97830,184595
2.94,09-20-2026 18:33:49:477,97845,184619
2.95,09-20-2026 18:33:49:487,97823,184621
2.96,09-20-2026 18:33:49:497,97830,184659
2.97,09-20-2026 18:33:49:507,97820,184671
2.98,09-20-2026 18:33:49:517,97827,184705
2.99,09-20-2026 18:33:49:527,97824,184723
3,09-20-2026 18:33:49:537,97818,184737
3.01,09-20-2026 18:33:49:547,97811,184768
3.02,09-20-2026 18:33:49:557,97804,184801
3.03,09-20-2026 18:33:49:567,97823,184822
3.04,09-20-2026 18:33:49:577,97800,184864
3.05,09-20-2026 18:33:49:587,97804,184888
3.06,09-20-2026 18:33:49:597,97806,184930
3.07,09-20-2026 18:33:49:607,97802,184957
3.08,09-20-2026 18:33:49:617,97806,184993
3.09,09-20-2026 18:33:49:627,97810,184996
3.1,09-20-2026 18:33:49:637,97811,185041
3.11,09-20-2026 18:33:49:647,97807,185060
3.12,09-20-2026 18:33:49:657,97811,185108
3.13,09-20-2026 18:33:49:667,97807,185132
3.14,09-20-2026 18:33:49:677,97816,185135
3.15,09-20-2026 18:33:49:687,97813,185210
3.16,09-20-2026 18:33:49:697,97810,185213
3.17,09-20-2026 18:33:49:707,97799,185240
3.18,09-20-2026 18:33:49:717,97816,185288
3.19,09-20-2026 18:33:49:727,97802,185303
3.2,09-20-2026 18:33:49:737,97814,185357
3.21,09-20-2026 18:33:49:747,97807,185378
3.22,09-20-2026 18:33:49:757,97804,185432
3.23,09-20-2026 18:33:49:767,97827,185480
3.24,09-20-2026 18:33:49:777,97813,185492
3.25,09-20-2026 18:33:49:787,97795,185510
3.26,09-20-2026 18:33:49:797,97814,185420
3.27,09-20-2026 18:33:49:807,97820,185264
3.28,09-20-2026 18:33:49:817,97826,185126
3.29,09-20-2026 18:33:49:827,97814,184934
3.3,09-20-2026 18:33:49:837,97817,184784
3.31,09-20-2026 18:33:49:847,97839,184659
3.32,09-20-2026 18:33:49:857,97818,184551
3.33,09-20-2026 18:33:49:867,97817,184467
3.34,09-20-2026 18:33:49:877,97834,184425
3.35,09-20-2026 18:33:49:887,97845,184389
