PseudoTimeSec,PseudoTimestamp,R,IR
0.01,09-20-2026 20:32:04:267,161321,136623
0.02,09-20-2026 20:32:04:277,161322,136599
0.03,09-20-2026 20:32:04:287,161291,136587
0.04,09-20-2026 20:32:04:297,161305,136563
0.05,09-20-2026 20:32:04:307,161290,136518
0.06,09-20-2026 20:32:04:317,161256,136491
0.07,09-20-2026 20:32:04:327,161234,136452
0.08,09-20-2026 20:32:04:337,161235,136425
0.09,09-20-2026 20:32:04:347,161201,136359
0.1,09-20-2026 20:32:04:357,161201,136359
0.11,09-20-2026 20:32:04:367,161157,136320
0.12,09-20-2026 20:32:04:377,161137,136298
0.13,09-20-2026 20:32:04:387,161148,136278
0.14,09-20-2026 20:32:04:397,161143,136268
0.15,09-20-2026 20:32:04:407,161149,136268
0.16,09-20-2026 20:32:04:417,161159,136254
0.17,09-20-2026 20:32:04:427,161145,136240
0.18,09-20-2026 20:32:04:437,161117,136200
0.19,09-20-2026 20:32:04:447,161101,136184
0.2,09-20-2026 20:32:04:457,161085,136142
0.21,09-20-2026 20:32:04:467,161060,136121
0.22,09-20-2026 20:32:04:477,161022,136093
0.23,09-20-2026 20:32:04:487,161016,136069
0.24,09-20-2026 20:32:04:497,161002,136053
0.25,09-20-2026 20:32:04:507,160998,136043
0.26,09-20-2026 20:32:04:517,160980,136013
0.27,09-20-2026 20:32:04:527,160950,135969
0.28,09-20-2026 20:32:04:537,160930,135977
0.29,09-20-2026 20:32:04:547,160898,135969
0.3,09-20-2026 20:32:04:557,160896,135931
0.31,09-20-2026 20:32:04:567,160859,135907
0.32,09-20-2026 20:32:04:577,160851,135873
0.33,09-20-2026 20:32:04:587,160827,135849
0.34,09-20-2026 20:32:04:597,160815,135823
0.35,09-20-2026 20:32:04:607,160771,135779
0.36,09-20-2026 20:32:04:617,160781,135773
0.37,09-20-2026 20:32:04:627,160753,135761
0.38,09-20-2026 20:32:04:637,160747,135733
0.39,09-20-2026 20:32:04:647,160721,135699
0.4,09-20-2026 20:32:04:657,160731,135691
0.41,09-20-2026 20:32:04:667,160679,135632
0.42,09-20-2026 20:32:04:677,160658,135623
0.43,09-20-2026 20:32:04:687,160625,135599
0.44,09-20-2026 20:32:04:697,160625,135572
0.45,09-20-2026 20:32:04:707,160574,135560
0.46,09-20-2026 20:32:04:717,160607,135524
