PseudoTimeSec,PseudoTimestamp,R,IR
0.47,09-20-2026 20:32:04:727,160529,135482
0.48,09-20-2026 20:32:04:737,160538,135449
0.49,09-20-2026 20:32:04:747,160445,135392
0.5,09-20-2026 20:32:04:757,160421,135314
0.51,09-20-2026 20:32:04:767,160313,135246
0.52,09-20-2026 20:32:04:777,160307,135183
0.53,09-20-2026 20:32:04:787,160208,135123
0.54,09-20-2026 20:32:04:797,160217,135081
0.55,09-20-2026 20:32:04:807,160142,135027
0.56,09-20-2026 20:32:04:817,160142,135006
0.57,09-20-2026 20:32:04:827,160067,134979
0.58,09-20-2026 20:32:04:837,160091,134955
0.59,09-20-2026 20:32:04:847,160043,134940
0.6,09-20-2026 20:32:04:857,160055,134925
0.61,09-20-2026 20:32:04:867,160027,134914
0.62,09-20-2026 20:32:04:877,160037,134884
0.63,09-20-2026 20:32:04:887,159997,134880
0.64,09-20-2026 20:32:04:897,160005,134850
0.65,09-20-2026 20:32:04:907,159945,134830
0.66,09-20-2026 20:32:04:917,159963,134804
0.67,09-20-2026 20:32:04:927,159913,134792
0.68,09-20-2026 20:32:04:937,159937,134760
0.69,09-20-2026 20:32:04:947,159911,134774
0.7,09-20-2026 20:32:04:957,159903,134750
0.71,09-20-2026 20:32:04:967,159896,134738
0.72,09-20-2026 20:32:04:977,159912,134744
0.73,09-20-2026 20:32:04:987,159904,134726
0.74,09-20-2026 20:32:04:997,159886,134718
0.75,09-20-2026 20:32:05:007,159882,134704
0.76,09-20-2026 20:32:05:017,159844,134686
0.77,09-20-2026 20:32:05:027,159858,134674
0.78,09-20-2026 20:32:05:037,159834,134654
0.79,09-20-2026 20:32:05:047,159814,134642
0.8,09-20-2026 20:32:05:057,159764,134582
0.81,09-20-2026 20:32:05:067,159735,134549
0.82,09-20-2026 20:32:05:077,159702,134507
0.83,09-20-2026 20:32:05:087,159703,134500
0.84,09-20-2026 20:32:05:097,159686,134476
0.85,09-20-2026 20:32:05:107,159691,134495
0.86,09-20-2026 20:32:05:117,159673,134516
0.87,09-20-2026 20:32:05:127,159695,134489
0.88,09-20-2026 20:32:05:137,159661,134500
0.89,09-20-2026 20:32:05:147,159696,134503
0.9,09-20-2026 20:32:05:157,159676,134504
0.91,09-20-2026 20:32:05:167,159698,134491
0.92,09-20-2026 20:32:05:177,159634,134475
0.93,09-20-2026 20:32:05:187,159644,134427
0.94,09-20-2026 20:32:05:197,159590,134406
0.95,09-20-2026 20:32:05:207,159574,134393
0.96,09-20-2026 20:32:05:217,159548,134380
0.97,09-20-2026 20:32:05:227,159566,134368
0.98,09-20-2026 20:32:05:237,159526,134369
0.99,09-20-2026 20:32:05:247,159546,134370
1,09-20-2026 20:32:05:257,159504,134367
1.01,09-20-2026 20:32:05:267,159546,134347
1.02,09-20-2026 20:32:05:277,159494,134346
1.03,09-20-2026 20:32:05:287,159532,134367
1.04,09-20-2026 20:32:05:297,159486,134381
1.05,09-20-2026 20:32:05:307,159500,134346
1.06,09-20-2026 20:32:05:317,159436,134330
1.07,09-20-2026 20:32:05:327,159482,134338
1.08,09-20-2026 20:32:05:337,159438,134319
1.09,09-20-2026 20:32:05:347,159442,134312
1.1,09-20-2026 20:32:05:357,159408,134319
1.11,09-20-2026 20:32:05:367,159437,134321
1.12,09-20-2026 20:32:05:377,159401,134335
1.13,09-20-2026 20:32:05:387,159411,134353
1.14,09-20-2026 20:32:05:397,159415,134325
1.15,09-20-2026 20:32:05:407,159413,134319
1.16,09-20-2026 20:32:05:417,159377,134307
1.17,09-20-2026 20:32:05:427,159387,134273
1.18,09-20-2026 20:32:05:437,159321,134237
1.19,09-20-2026 20:32:05:447,159321,134227
1.2,09-20-2026 20:32:05:457,159277,134189
1.21,09-20-2026 20:32:05:467,159308,134199
1.22,09-20-2026 20:32:05:477,159296,134208
1.23,09-20-2026 20:32:05:487,159318,134205
1.24,09-20-2026 20:32:05:497,159306,134202
1.25,09-20-2026 20:32:05:507,159292,134190
1.26,09-20-2026 20:32:05:517,159284,134187
1.27,09-20-2026 20:32:05:527,159216,134103
1.28,09-20-2026 20:32:05:537,159160,134031
1.29,09-20-2026 20:32:05:547,159120,133959
1.3,09-20-2026 20:32:05:557,159088,133923
1.31,09-20-2026 20:32:05:567,159040,133880
1.32,09-20-2026 20:32:05:577,159019,133829
1.33,09-20-2026 20:32:05:587,158977,133820
1.34,09-20-2026 20:32:05:597,158953,133772
1.35,09-20-2026 20:32:05:607,158944,133760
1.36,09-20-2026 20:32:05:617,158908,133721
1.37,09-20-2026 20:32:05:627,158878,133688
1.38,09-20-2026 20:32:05:637,158833,133604
1.39,09-20-2026 20:32:05:647,158770,133571
1.4,09-20-2026 20:32:05:657,158755,133547
1.41,09-20-2026 20:32:05:667,158710,133526
1.42,09-20-2026 20:32:05:677,158703,133478
1.43,09-20-2026 20:32:05:687,158677,133460
1.44,09-20-2026 20:32:05:697,158661,133434
1.45,09-20-2026 20:32:05:707,158645,133428
1.46,09-20-2026 20:32:05:717,158642,133416
1.47,09-20-2026 20:32:05:727,158628,133428
1.48,09-20-2026 20:32:05:737,158613,133384
1.49,09-20-2026 20:32:05:747,158590,133410
1.5,09-20-2026 20:32:05:757,158601,133342
1.51,09-20-2026 20:32:05:767,158582,133383
1.52,09-20-2026 20:32:05:777,158576,133329
1.53,09-20-2026 20:32:05:787,158582,133343
1.54,09-20-2026 20:32:05:797,158546,133267
1.55,09-20-2026 20:32:05:807,158526,133317
1.56,09-20-2026 20:32:05:817,158514,133259
1.57,09-20-2026 20:32:05:827,158496,133269
1.58,09-20-2026 20:32:05:837,158464,133171
1.59,09-20-2026 20:32:05:847,158446,133195
1.6,09-20-2026 20:32:05:857,158428,133163
1.61,09-20-2026 20:32:05:867,158440,133182
1.62,09-20-2026 20:32:05:877,158400,133130
1.63,09-20-2026 20:32:05:887,158378,133166
1.64,09-20-2026 20:32:05:897,158366,133072
1.65,09-20-2026 20:32:05:907,158330,133092
1.66,09-20-2026 20:32:05:917,158316,133024
1.67,09-20-2026 20:32:05:927,158296,133038
1.68,09-20-2026 20:32:05:937,158310,133000
1.69,09-20-2026 20:32:05:947,158268,133030
1.7,09-20-2026 20:32:05:957,158242,132952
1.71,09-20-2026 20:32:05:967,158229,132992
1.72,09-20-2026 20:32:05:977,158243,132928
1.73,09-20-2026 20:32:05:987,158229,132972
1.74,09-20-2026 20:32:05:997,158219,132954
1.75,09-20-2026 20:32:06:007,158201,132964
1.76,09-20-2026 20:32:06:017,158183,132904
1.77,09-20-2026 20:32:06:027,158155,132902
1.78,09-20-2026 20:32:06:037,158109,132828
1.79,09-20-2026 20:32:06:047,158115,132842
1.8,09-20-2026 20:32:06:057,158107,132810
1.81,09-20-2026 20:32:06:067,158071,132830
1.82,09-20-2026 20:32:06:077,158057,132772
1.83,09-20-2026 20:32:06:087,158031,132784
1.84,09-20-2026 20:32:06:097,158021,132780
1.85,09-20-2026 20:32:06:107,158007,132748
1.86,09-20-2026 20:32:06:117,158001,132734
1.87,09-20-2026 20:32:06:127,157989,132748
1.88,09-20-2026 20:32:06:137,157961,132728
1.89,09-20-2026 20:32:06:147,157957,132706
1.9,09-20-2026 20:32:06:157,157923,132690
1.91,09-20-2026 20:32:06:167,157925,132659
1.92,09-20-2026 20:32:06:177,157915,132661
1.93,09-20-2026 20:32:06:187,157884,132643
1.94,09-20-2026 20:32:06:197,157873,132620
1.95,09-20-2026 20:32:06:207,157845,132628
1.96,09-20-2026 20:32:06:217,157853,132626
1.97,09-20-2026 20:32:06:227,157835,132603
1.98,09-20-2026 20:32:06:237,157837,132633
1.99,09-20-2026 20:32:06:247,157849,132604
2,09-20-2026 20:32:06:257,157821,132611
2.01,09-20-2026 20:32:06:267,157810,132596
2.02,09-20-2026 20:32:06:277,157821,132604
2.03,09-20-2026 20:32:06:287,157816,132578
2.04,09-20-2026 20:32:06:297,157801,132594
2.05,09-20-2026 20:32:06:307,157801,132571
2.06,09-20-2026 20:32:06:317,157787,132604
2.07,09-20-2026 20:32:06:327,157773,132559
2.08,09-20-2026 20:32:06:337,157760,132587
2.09,09-20-2026 20:32:06:347,157769,132559
2.1,09-20-2026 20:32:06:357,157745,132561
2.11,09-20-2026 20:32:06:367,157753,132529
2.12,09-20-2026 20:32:06:377,157765,132573
2.13,09-20-2026 20:32:06:387,157735,132539
2.14,09-20-2026 20:32:06:397,157733,132539
2.15,09-20-2026 20:32:06:407,157736,132511
2.16,09-20-2026 20:32:06:417,157736,132521
2.17,09-20-2026 20:32:06:427,157752,132494
2.18,09-20-2026 20:32:06:437,157750,132514
2.19,09-20-2026 20:32:06:447,157749,132496
2.2,09-20-2026 20:32:06:457,157768,132525
2.21,09-20-2026 20:32:06:467,157758,132521
2.22,09-20-2026 20:32:06:477,157759,132527
2.23,09-20-2026 20:32:06:487,157760,132500
2.24,09-20-2026 20:32:06:497,157724,132495
2.25,09-20-2026 20:32:06:507,157723,132454
2.26,09-20-2026 20:32:06:517,157732,132467
2.27,09-20-2026 20:32:06:527,157723,132445
2.28,09-20-2026 20:32:06:537,157723,132446
2.29,09-20-2026 20:32:06:547,157700,132421
2.3,09-20-2026 20:32:06:557,157706,132435
2.31,09-20-2026 20:32:06:567,157697,132410
2.32,09-20-2026 20:32:06:577,157693,132414
2.33,09-20-2026 20:32:06:587,157697,132389
2.34,09-20-2026 20:32:06:597,157689,132415
2.35,09-20-2026 20:32:06:607,157664,132376
2.36,09-20-2026 20:32:06:617,157673,132386
2.37,09-20-2026 20:32:06:627,157662,132354
2.38,09-20-2026 20:32:06:637,157640,132332
2.39,09-20-2026 20:32:06:647,157634,132327
2.4,09-20-2026 20:32:06:657,157645,132321
2.41,09-20-2026 20:32:06:667,157626,132331
2.42,09-20-2026 20:32:06:677,157638,132342
2.43,09-20-2026 20:32:06:687,157635,132314
2.44,09-20-2026 20:32:06:697,157616,132308
2.45,09-20-2026 20:32:06:707,157617,132286
2.46,09-20-2026 20:32:06:717,157605,132294
2.47,09-20-2026 20:32:06:727,157596,132269
2.48,09-20-2026 20:32:06:737,157590,132259
2.49,09-20-2026 20:32:06:747,157590,132245
2.5,09-20-2026 20:32:06:757,157594,132238
2.51,09-20-2026 20:32:06:767,157567,132230
2.52,09-20-2026 20:32:06:777,157567,132228
2.53,09-20-2026 20:32:06:787,157571,132217
2.54,09-20-2026 20:32:06:797,157567,132218
2.55,09-20-2026 20:32:06:807,157576,132209
2.56,09-20-2026 20:32:06:817,157559,132195
2.57,09-20-2026 20:32:06:827,157528,132186
2.58,09-20-2026 20:32:06:837,157507,132152
2.59,09-20-2026 20:32:06:847,157517,132160
2.6,09-20-2026 20:32:06:857,157492,132143
2.61,09-20-2026 20:32:06:867,157470,132112
2.62,09-20-2026 20:32:06:877,157475,132107
2.63,09-20-2026 20:32:06:887,157478,132093
2.64,09-20-2026 20:32:06:897,157451,132097
2.65,09-20-2026 20:32:06:907,157452,132079
2.66,09-20-2026 20:32:06:917,157463,132100
2.67,09-20-2026 20:32:06:927,157448,132096
2.68,09-20-2026 20:32:06:937,157452,132093
2.69,09-20-2026 20:32:06:947,157463,132072
2.7,09-20-2026 20:32:06:957,157447,132078
2.71,09-20-2026 20:32:06:967,157435,132083
2.72,09-20-2026 20:32:06:977,157425,132070
2.73,09-20-2026 20:32:06:987,157433,132073
2.74,09-20-2026 20:32:06:997,157420,132058
2.75,09-20-2026 20:32:07:007,157449,132064
2.76,09-20-2026 20:32:07:017,157445,132086
2.77,09-20-2026 20:32:07:027,157439,132075
2.78,09-20-2026 20:32:07:037,157409,132055
2.79,09-20-2026 20:32:07:047,157422,132034
2.8,09-20-2026 20:32:07:057,157441,132071
2.81,09-20-2026 20:32:07:067,157426,132069
2.82,09-20-2026 20:32:07:077,157454,132087
2.83,09-20-2026 20:32:07:087,157484,132103
2.84,09-20-2026 20:32:07:097,157454,132145
2.85,09-20-2026 20:32:07:107,157514,132161
2.86,09-20-2026 20:32:07:117,157514,132161
2.87,09-20-2026 20:32:07:127,157566,132191
2.88,09-20-2026 20:32:07:137,157594,132249
2.89,09-20-2026 20:32:07:147,157628,132279
2.9,09-20-2026 20:32:07:157,157616,132277
2.91,09-20-2026 20:32:07:167,157662,132300
2.92,09-20-2026 20:32:07:177,157656,132318
2.93,09-20-2026 20:32:07:187,157683,132312
2.94,09-20-2026 20:32:07:197,157695,132339
2.95,09-20-2026 20:32:07:207,157725,132342
2.96,09-20-2026 20:32:07:217,157743,132390
2.97,09-20-2026 20:32:07:227,157860,132480
2.98,09-20-2026 20:32:07:237,157872,132531
2.99,09-20-2026 20:32:07:247,157956,132555
3,09-20-2026 20:32:07:257,157965,132579
3.01,09-20-2026 20:32:07:267,158077,132621
3.02,09-20-2026 20:32:07:277,158110,132669
3.03,09-20-2026 20:32:07:287,158161,132677
3.04,09-20-2026 20:32:07:297,158170,132673
3.05,09-20-2026 20:32:07:307,158242,132685
3.06,09-20-2026 20:32:07:317,158221,132687
3.07,09-20-2026 20:32:07:327,158302,132707
3.08,09-20-2026 20:32:07:337,158308,132743
3.09,09-20-2026 20:32:07:347,158395,132765
3.1,09-20-2026 20:32:07:357,158344,132761
3.11,09-20-2026 20:32:07:367,158410,132748
3.12,09-20-2026 20:32:07:377,158408,132755
3.13,09-20-2026 20:32:07:387,158462,132744
3.14,09-20-2026 20:32:07:397,158442,132774
3.15,09-20-2026 20:32:07:407,158496,132754
3.16,09-20-2026 20:32:07:417,158508,132776
3.17,09-20-2026 20:32:07:427,158550,132783
3.18,09-20-2026 20:32:07:437,158520,132767
3.19,09-20-2026 20:32:07:447,158526,132723
3.2,09-20-2026 20:32:07:457,158504,132712
3.21,09-20-2026 20:32:07:467,158525,132687
3.22,09-20-2026 20:32:07:477,158423,132615
3.23,09-20-2026 20:32:07:487,158381,132543
3.24,09-20-2026 20:32:07:497,158267,132441
3.25,09-20-2026 20:32:07:507,158201,132309
3.26,09-20-2026 20:32:07:517,158039,132195
3.27,09-20-2026 20:32:07:527,157979,132111
3.28,09-20-2026 20:32:07:537,157865,132003
3.29,09-20-2026 20:32:07:547,157817,131967
3.3,09-20-2026 20:32:07:557,157799,131937
3.31,09-20-2026 20:32:07:567,157761,131912
3.32,09-20-2026 20:32:07:577,157725,131864
3.33,09-20-2026 20:32:07:587,157638,131776
3.34,09-20-2026 20:32:07:597,157605,131720
3.35,09-20-2026 20:32:07:607,157560,131672
3.36,09-20-2026 20:32:07:617,157527,131612
3.37,09-20-2026 20:32:07:627,157464,131568
3.38,09-20-2026 20:32:07:637,157452,131540
3.39,09-20-2026 20:32:07:647,157428,131512
3.4,09-20-2026 20:32:07:657,157428,131512
3.41,09-20-2026 20:32:07:667,157429,131526
3.42,09-20-2026 20:32:07:677,157452,131539
3.43,09-20-2026 20:32:07:687,157450,131552
3.44,09-20-2026 20:32:07:697,157436,131535
3.45,09-20-2026 20:32:07:707,157444,131526
3.46,09-20-2026 20:32:07:717,157437,131489
3.47,09-20-2026 20:32:07:727,157390,131481
3.48,09-20-2026 20:32:07:737,157423,131472
3.49,09-20-2026 20:32:07:747,157384,131466
3.5,09-20-2026 20:32:07:757,157421,131448
3.51,09-20-2026 20:32:07:767,157371,131464
3.52,09-20-2026 20:32:07:777,157424,131470
3.53,09-20-2026 20:32:07:787,157382,131461
3.54,09-20-2026 20:32:07:797,157443,131457
3.55,09-20-2026 20:32:07:807,157408,131470
3.56,09-20-2026 20:32:07:817,157442,131458
3.57,09-20-2026 20:32:07:827,157419,131466
3.58,09-20-2026 20:32:07:837,157433,131451
3.59,09-20-2026 20:32:07:847,157384,131448
3.6,09-20-2026 20:32:07:857,157407,131432
3.61,09-20-2026 20:32:07:867,157389,131435
3.62,09-20-2026 20:32:07:877,157430,131422
3.63,09-20-2026 20:32:07:887,157388,131411
3.64,09-20-2026 20:32:07:897,157438,131418
3.65,09-20-2026 20:32:07:907,157432,131427
3.66,09-20-2026 20:32:07:917,157479,131454
3.67,09-20-2026 20:32:07:927,157468,131453
3.68,09-20-2026 20:32:07:937,157475,131457
3.69,09-20-2026 20:32:07:947,157443,131448
3.7,09-20-2026 20:32:07:957,157475,131431
3.71,09-20-2026 20:32:07:967,157408,131428
3.72,09-20-2026 20:32:07:977,157429,131377
3.73,09-20-2026 20:32:07:987,157401,131365
3.74,09-20-2026 20:32:07:997,157419,131379
3.75,09-20-2026 20:32:08:007,157385,131364
3.76,09-20-2026 20:32:08:017,157394,131366
3.77,09-20-2026 20:32:08:027,157406,131355
3.78,09-20-2026 20:32:08:037,157430,131390
3.79,09-20-2026 20:32:08:047,157416,131387
3.8,09-20-2026 20:32:08:057,157442,131375
3.81,09-20-2026 20:32:08:067,157413,131398
3.82,09-20-2026 20:32:08:077,157425,131382
3.83,09-20-2026 20:32:08:087,157424,131356
3.84,09-20-2026 20:32:08:097,157387,131362
3.85,09-20-2026 20:32:08:107,157375,131334
3.86,09-20-2026 20:32:08:117,157373,131322
3.87,09-20-2026 20:32:08:127,157397,131292
3.88,09-20-2026 20:32:08:137,157378,131280
3.89,09-20-2026 20:32:08:147,157378,131256
3.9,09-20-2026 20:32:08:157,157357,131264
3.91,09-20-2026 20:32:08:167,157367,131231
3.92,09-20-2026 20:32:08:177,157354,131219
3.93,09-20-2026 20:32:08:187,157353,131190
3.94,09-20-2026 20:32:08:197,157339,131177
3.95,09-20-2026 20:32:08:207,157336,131155
3.96,09-20-2026 20:32:08:217,157330,131141
3.97,09-20-2026 20:32:08:227,157309,131126
3.98,09-20-2026 20:32:08:237,157334,131136
3.99,09-20-2026 20:32:08:247,157324,131112
4,09-20-2026 20:32:08:257,157309,131104
4.01,09-20-2026 20:32:08:267,157304,131087
4.02,09-20-2026 20:32:08:277,157286,131095
4.03,09-20-2026 20:32:08:287,157308,131059
4.04,09-20-2026 20:32:08:297,157292,131079
4.05,09-20-2026 20:32:08:307,157316,131035
4.06,09-20-2026 20:32:08:317,157314,131053
4.07,09-20-2026 20:32:08:327,157300,131005
4.08,09-20-2026 20:32:08:337,157283,130979
4.09,09-20-2026 20:32:08:347,157253,130937
4.1,09-20-2026 20:32:08:357,157234,130965
4.11,09-20-2026 20:32:08:367,157237,130924
4.12,09-20-2026 20:32:08:377,157281,130958
4.13,09-20-2026 20:32:08:387,157286,130945
4.14,09-20-2026 20:32:08:397,157322,131015
4.15,09-20-2026 20:32:08:407,157334,130974
4.16,09-20-2026 20:32:08:417,157331,131005
4.17,09-20-2026 20:32:08:427,157336,130955
4.18,09-20-2026 20:32:08:437,157305,130990
4.19,09-20-2026 20:32:08:447,157313,130935
4.2,09-20-2026 20:32:08:457,157289,130958
4.21,09-20-2026 20:32:08:467,157281,130914
4.22,09-20-2026 20:32:08:477,157305,130949
4.23,09-20-2026 20:32:08:487,157315,130918
4.24,09-20-2026 20:32:08:497,157314,130965
4.25,09-20-2026 20:32:08:507,157318,130931
4.26,09-20-2026 20:32:08:517,157328,130968
4.27,09-20-2026 20:32:08:527,157325,130924
4.28,09-20-2026 20:32:08:537,157327,130948
4.29,09-20-2026 20:32:08:547,157307,130902
4.3,09-20-2026 20:32:08:557,157316,130934
4.31,09-20-2026 20:32:08:567,157295,130884
4.32,09-20-2026 20:32:08:577,157315,130934
4.33,09-20-2026 20:32:08:587,157332,130895
4.34,09-20-2026 20:32:08:597,157313,130954
4.35,09-20-2026 20:32:08:607,157338,130949
4.36,09-20-2026 20:32:08:617,157341,130985
4.37,09-20-2026 20:32:08:627,157363,130961
4.38,09-20-2026 20:32:08:637,157349,130971
4.39,09-20-2026 20:32:08:647,157347,130939
4.4,09-20-2026 20:32:08:657,157341,130965
4.41,09-20-2026 20:32:08:667,157337,130909
4.42,09-20-2026 20:32:08:677,157299,130922
4.43,09-20-2026 20:32:08:687,157288,130888
4.44,09-20-2026 20:32:08:697,157287,130890
4.45,09-20-2026 20:32:08:707,157287,130879
4.46,09-20-2026 20:32:08:717,157298,130912
4.47,09-20-2026 20:32:08:727,157295,130914
4.48,09-20-2026 20:32:08:737,157310,130918
4.49,09-20-2026 20:32:08:747,157313,130927
4.5,09-20-2026 20:32:08:757,157325,130936
4.51,09-20-2026 20:32:08:767,157312,130934
4.52,09-20-2026 20:32:08:777,157307,130909
4.53,09-20-2026 20:32:08:787,157319,130917
4.54,09-20-2026 20:32:08:797,157314,130908
4.55,09-20-2026 20:32:08:807,157311,130898
4.56,09-20-2026 20:32:08:817,157305,130923
4.57,09-20-2026 20:32:08:827,157323,130956
4.58,09-20-2026 20:32:08:837,157317,130937
4.59,09-20-2026 20:32:08:847,157338,130961
4.6,09-20-2026 20:32:08:857,157341,130946
4.61,09-20-2026 20:32:08:867,157343,130969
4.62,09-20-2026 20:32:08:877,157342,130957
4.63,09-20-2026 20:32:08:887,157326,130965
4.64,09-20-2026 20:32:08:897,157332,130939
4.65,09-20-2026 20:32:08:907,157326,130956
4.66,09-20-2026 20:32:08:917,157329,130935
4.67,09-20-2026 20:32:08:927,157324,130933
4.68,09-20-2026 20:32:08:937,157315,130890
4.69,09-20-2026 20:32:08:947,157288,130897
4.7,09-20-2026 20:32:08:957,157285,130844
4.71,09-20-2026 20:32:08:967,157272,130829
4.72,09-20-2026 20:32:08:977,157257,130807
4.73,09-20-2026 20:32:08:987,157236,130817
4.74,09-20-2026 20:32:08:997,157233,130755
4.75,09-20-2026 20:32:09:007,157224,130771
4.76,09-20-2026 20:32:09:017,157229,130719
4.77,09-20-2026 20:32:09:027,157205,130751
4.78,09-20-2026 20:32:09:037,157202,130695
4.79,09-20-2026 20:32:09:047,157213,130739
4.8,09-20-2026 20:32:09:057,157193,130681
4.81,09-20-2026 20:32:09:067,157191,130709
4.82,09-20-2026 20:32:09:077,157168,130647
4.83,09-20-2026 20:32:09:087,157195,130711
4.84,09-20-2026 20:32:09:097,157174,130647
4.85,09-20-2026 20:32:09:107,157177,130679
4.86,09-20-2026 20:32:09:117,157206,130643
4.87,09-20-2026 20:32:09:127,157173,130657
4.88,09-20-2026 20:32:09:137,157151,130591
4.89,09-20-2026 20:32:09:147,157137,130587
4.9,09-20-2026 20:32:09:157,157144,130557
4.91,09-20-2026 20:32:09:167,157122,130575
4.92,09-20-2026 20:32:09:177,157138,130534
4.93,09-20-2026 20:32:09:187,157136,130575
4.94,09-20-2026 20:32:09:197,157135,130560
4.95,09-20-2026 20:32:09:207,157153,130581
4.96,09-20-2026 20:32:09:217,157136,130560
4.97,09-20-2026 20:32:09:227,157162,130590
4.98,09-20-2026 20:32:09:237,157135,130568
4.99,09-20-2026 20:32:09:247,157126,130557
5,09-20-2026 20:32:09:257,157140,130542
5.01,09-20-2026 20:32:09:267,157137,130540
5.02,09-20-2026 20:32:09:277,157155,130540
5.03,09-20-2026 20:32:09:287,157172,130561
5.04,09-20-2026 20:32:09:297,157173,130559
5.05,09-20-2026 20:32:09:307,157196,130562
5.06,09-20-2026 20:32:09:317,157181,130563
5.07,09-20-2026 20:32:09:327,157187,130567
5.08,09-20-2026 20:32:09:337,157194,130573
5.09,09-20-2026 20:32:09:347,157185,130562
5.1,09-20-2026 20:32:09:357,157145,130527
5.11,09-20-2026 20:32:09:367,157151,130519
5.12,09-20-2026 20:32:09:377,157152,130516
5.13,09-20-2026 20:32:09:387,157155,130523
5.14,09-20-2026 20:32:09:397,157170,130555
5.15,09-20-2026 20:32:09:407,157200,130559
5.16,09-20-2026 20:32:09:417,157198,130572
5.17,09-20-2026 20:32:09:427,157204,130584
5.18,09-20-2026 20:32:09:437,157214,130592
5.19,09-20-2026 20:32:09:447,157210,130576
5.2,09-20-2026 20:32:09:457,157210,130578
5.21,09-20-2026 20:32:09:467,157197,130556
5.22,09-20-2026 20:32:09:477,157174,130527
5.23,09-20-2026 20:32:09:487,157194,130555
5.24,09-20-2026 20:32:09:497,157216,130571
5.25,09-20-2026 20:32:09:507,157233,130574
5.26,09-20-2026 20:32:09:517,157248,130614
5.27,09-20-2026 20:32:09:527,157263,130619
5.28,09-20-2026 20:32:09:537,157246,130613
5.29,09-20-2026 20:32:09:547,157251,130613
5.3,09-20-2026 20:32:09:557,157252,130613
5.31,09-20-2026 20:32:09:567,157251,130599
5.32,09-20-2026 20:32:09:577,157243,130585
5.33,09-20-2026 20:32:09:587,157218,130580
5.34,09-20-2026 20:32:09:597,157230,130552
5.35,09-20-2026 20:32:09:607,157221,130561
5.36,09-20-2026 20:32:09:617,157246,130580
5.37,09-20-2026 20:32:09:627,157235,130585
5.38,09-20-2026 20:32:09:637,157247,130601
5.39,09-20-2026 20:32:09:647,157260,130612
5.4,09-20-2026 20:32:09:657,157264,130607
5.41,09-20-2026 20:32:09:667,157256,130615
5.42,09-20-2026 20:32:09:677,157249,130608
5.43,09-20-2026 20:32:09:687,157243,130610
5.44,09-20-2026 20:32:09:697,157240,130602
5.45,09-20-2026 20:32:09:707,157255,130580
5.46,09-20-2026 20:32:09:717,157237,130595
5.47,09-20-2026 20:32:09:727,157231,130590
5.48,09-20-2026 20:32:09:737,157225,130580
5.49,09-20-2026 20:32:09:747,157210,130580
5.5,09-20-2026 20:32:09:757,157215,130567
5.51,09-20-2026 20:32:09:767,157184,130550
5.52,09-20-2026 20:32:09:777,157188,130536
5.53,09-20-2026 20:32:09:787,157162,130526
5.54,09-20-2026 20:32:09:797,157147,130502
5.55,09-20-2026 20:32:09:807,157103,130490
5.56,09-20-2026 20:32:09:817,157135,130470
5.57,09-20-2026 20:32:09:827,157112,130470
5.58,09-20-2026 20:32:09:837,157138,130442
