PseudoTimeSec,PseudoTimestamp,QX,QY,QZ,QW,AX,AY,AZ
0.01,09-20-2026 18:37:32:086,0.241500005125999,0.478500008583069,-0.0031999999191612,0.838199973106384,0.2068,0.6928,0.0034
0.02,09-20-2026 18:37:32:096,0.413100004196167,0.619300007820129,-0.952400028705597,0,-3.0571,-2.5711,-3.2516
0.03,09-20-2026 18:37:32:106,0.010499999858439,0.232099995017052,0.482699990272522,0.838199973106384,-0.2301,0.1531,0.6544
0.04,09-20-2026 18:37:32:116,0.00719999987632036,0.228900000452995,0.482699990272522,0.838199973106384,-0.2301,0.1531,0.6544
0.05,09-20-2026 18:37:32:126,0.00719999987632036,0.228900000452995,0.482699990272522,0.838199973106384,-0.2301,0.1531,0.6544
0.06,09-20-2026 18:37:32:136,0.00389999989420176,0.225700005888939,0.482699990272522,0.838199973106384,-0.2301,0.1274,0.6544
0.07,09-20-2026 18:37:32:146,0.000600000028498471,0.225700005888939,0.482699990272522,0.838199973106384,-0.2301,0.1274,0.6854
0.08,09-20-2026 18:37:32:156,0.000600000028498471,0.222499996423721,0.482699990272522,0.838199973106384,-0.2558,0.1274,0.6854
0.09,09-20-2026 18:37:32:166,-0.00270000007003546,0.222499996423721,0.482699990272522,0.838199973106384,-0.2558,0.1274,0.6854
0.1,09-20-2026 18:37:32:176,-0.00270000007003546,0.222499996423721,0.482699990272522,0.838199973106384,-0.2558,0.1274,0.6854
0.11,09-20-2026 18:37:32:186,-0.061099998652935,0.203899994492531,0.513599991798401,0.831099987030029,-0.3776,0.1664,0.8053
0.12,09-20-2026 18:37:32:196,-0.0635000020265579,0.203899994492531,0.514500021934509,0.830399990081787,-0.3806,0.1656,0.8123
0.13,09-20-2026 18:37:32:206,-0.065700002014637,0.204099997878075,0.515399992465973,0.829599976539612,-0.3866,0.1668,0.8223
0.14,09-20-2026 18:37:32:216,-0.0676999986171722,0.20440000295639,0.516200006008148,0.82889997959137,-0.3938,0.1704,0.8308
0.15,09-20-2026 18:37:32:226,-0.0693999975919724,0.204999998211861,0.51690000295639,0.828199982643127,-0.404,0.1748,0.8388
0.16,09-20-2026 18:37:32:236,-0.0707999989390373,0.205699995160103,0.517499983310699,0.827499985694885,-0.4142,0.182,0.8478
