PseudoTimeSec,PseudoTimestamp,R,IR
0.01,09-22-2026 23:39:59:540,147127,174776
0.02,09-22-2026 23:39:59:550,147119,174767
0.03,09-22-2026 23:39:59:560,147118,174783
0.04,09-22-2026 23:39:59:570,147113,174778
0.05,09-22-2026 23:39:59:580,147139,174777
0.06,09-22-2026 23:39:59:590,147095,174769
0.07,09-22-2026 23:39:59:600,147106,174761
0.08,09-22-2026 23:39:59:610,147080,174761
0.09,09-22-2026 23:39:59:620,147110,174774
0.1,09-22-2026 23:39:59:630,147072,174759
0.11,09-22-2026 23:39:59:640,147207,174923
0.12,09-22-2026 23:39:59:650,147199,174934
0.13,09-22-2026 23:39:59:660,147204,174923
0.14,09-22-2026 23:39:59:670,147207,174944
0.15,09-22-2026 23:39:59:680,147195,174928
0.16,09-22-2026 23:39:59:690,147204,174948
0.17,09-22-2026 23:39:59:700,147208,174897
0.18,09-22-2026 23:39:59:710,147193,174955
0.19,09-22-2026 23:39:59:720,147203,174908
0.2,09-22-2026 23:39:59:730,147194,174953
0.21,09-22-2026 23:39:59:740,147099,174529
0.22,09-22-2026 23:39:59:750,147094,174533
0.23,09-22-2026 23:39:59:760,147097,174515
0.24,09-22-2026 23:39:59:770,147108,174543
0.25,09-22-2026 23:39:59:780,147111,174567
0.26,09-22-2026 23:39:59:790,147104,174557
0.27,09-22-2026 23:39:59:800,147102,174569
0.28,09-22-2026 23:39:59:810,147121,174546
0.29,09-22-2026 23:39:59:820,147118,174555
0.3,09-22-2026 23:39:59:830,147134,174588
0.31,09-22-2026 23:39:59:840,146878,174204
0.32,09-22-2026 23:39:59:850,146919,174223
0.33,09-22-2026 23:39:59:860,146900,174212
0.34,09-22-2026 23:39:59:870,146901,174237
0.35,09-22-2026 23:39:59:880,146889,174228
0.36,09-22-2026 23:39:59:890,146923,174241
0.37,09-22-2026 23:39:59:900,146885,174230
0.38,09-22-2026 23:39:59:910,146908,174238
0.39,09-22-2026 23:39:59:920,146890,174241
0.4,09-22-2026 23:39:59:930,146921,174251
0.41,09-22-2026 23:39:59:940,146949,174572
0.42,09-22-2026 23:39:59:950,146967,174632
0.43,09-22-2026 23:39:59:960,146969,174594
0.44,09-22-2026 23:39:59:970,146950,174619
0.45,09-22-2026 23:39:59:980,146960,174609
0.46,09-22-2026 23:39:59:990,146966,174636
0.47,09-22-2026 23:40:00:000,146957,174623
0.48,09-22-2026 23:40:00:010,146954,174651
0.49,09-22-2026 23:40:00:020,146958,174634
0.5,09-22-2026 23:40:00:030,146974,174657
0.51,09-22-2026 23:40:00:040,146987,174896
0.52,09-22-2026 23:40:00:050,146986,174842
0.53,09-22-2026 23:40:00:060,146985,174892
0.54,09-22-2026 23:40:00:070,146990,174853
0.55,09-22-2026 23:40:00:080,146980,174900
0.56,09-22-2026 23:40:00:090,146962,174838
0.57,09-22-2026 23:40:00:100,146980,174913
0.58,09-22-2026 23:40:00:110,146990,174848
0.59,09-22-2026 23:40:00:120,146987,174906
0.6,09-22-2026 23:40:00:130,146980,174865
0.61,09-22-2026 23:40:00:140,147139,174868
0.62,09-22-2026 23:40:00:150,147103,174886
0.63,09-22-2026 23:40:00:160,147166,174880
0.64,09-22-2026 23:40:00:170,147107,174883
0.65,09-22-2026 23:40:00:180,147150,174900
0.66,09-22-2026 23:40:00:190,147141,174904
0.67,09-22-2026 23:40:00:200,147151,174903
0.68,09-22-2026 23:40:00:210,147130,174905
0.69,09-22-2026 23:40:00:220,147178,174916
0.7,09-22-2026 23:40:00:230,147138,174936
