PseudoTimeSec,PseudoTimestamp,UF-FP1,UF-FP2,UF-O1,UF-O2,UF-C3,UF-CZ,UF-FZ,UF-C4
30.384,09-21-2026 21:18:59:725,-187594.391,121918.931,128716.186,70238.837,118970.736,41776.439,-153922.159,52458.337
30.388,09-21-2026 21:18:59:729,-187690.593,121817.32,128776.089,69503.912,119395.822,40056.829,-154050.413,50730.324
30.392,09-21-2026 21:18:59:733,-195963.957,113180.383,129746.512,66380.479,120291.948,26925.269,-165080.284,47658.3
30.396,09-21-2026 21:18:59:737,-198850.015,110132.052,130034.045,66049.762,120314.925,23642.379,-169056.167,48080.703
30.4,09-21-2026 21:18:59:741,-193558.91,115720.658,129363.135,68622.001,119499.221,33334.721,-161873.926,51344.729
30.404,09-21-2026 21:18:59:745,-187097.02,122580.677,128646.717,70482.069,118882.044,42530.944,-153150.711,52575.416
30.408,09-21-2026 21:18:59:749,-187385.894,122179.597,128737.554,69601.231,119343.384,40684.511,-153408.471,50811.058
30.412,09-21-2026 21:18:59:753,-195474.365,113656.654,129725.412,66555.001,120231.464,27451.742,-164363.285,47742.611
30.416,09-21-2026 21:18:59:757,-198844.561,110147.206,130054.698,66077.881,120289.131,23758.876,-168745.21,48087.811
30.42,09-21-2026 21:18:59:761,-193452.247,115862.592,129384.772,68683.692,119458.719,33452.649,-161656.801,51348.037
30.424,09-21-2026 21:18:59:765,-187097.02,122480.407,128669.426,70482.069,118882.044,42530.944,-153150.711,52613.771
30.428,09-21-2026 21:18:59:769,-187097.02,122480.407,128748.909,69784.739,119308.784,40992.25,-153150.711,50926.125
30.432,09-21-2026 21:18:59:773,-195378.073,113756.924,129748.121,66555.001,120208.397,27605.611,-164363.285,47742.611
30.436,09-21-2026 21:18:59:777,-198651.978,110347.746,130077.407,66114.583,120266.064,23758.876,-168745.21,48049.456
30.44,09-21-2026 21:18:59:781,-193548.539,115662.052,129441.545,68610.289,119493.32,33144.91,-162043.442,51271.326
30.444,09-21-2026 21:18:59:785,-186904.438,122580.677,128703.49,70518.77,118870.511,42530.944,-153150.711,52613.771
30.448,09-21-2026 21:18:59:789,-186904.438,122580.677,128748.909,69821.441,119285.717,41299.989,-152892.951,51002.836
30.452,09-21-2026 21:18:59:793,-194318.869,114759.623,129645.929,66922.017,120150.729,28836.567,-162945.603,47972.744
30.456,09-21-2026 21:18:59:797,-198651.978,110347.746,130077.407,66041.179,120300.665,23605.007,-168616.33,47972.744
30.46,09-21-2026 21:18:59:801,-193933.704,115260.972,129486.964,68426.781,119550.987,32375.563,-162558.962,51117.903
30.464,09-21-2026 21:18:59:805,-187385.894,122179.597,128692.136,70371.964,118916.645,42069.336,-153795.112,52575.416
30.468,09-21-2026 21:18:59:809,-186615.564,122881.487,128646.717,69968.247,119274.183,41761.597,-152635.19,51156.259
30.472,09-21-2026 21:18:59:813,-193837.412,115260.972,129509.673,66995.42,120104.595,29759.783,-162301.202,48087.811
30.476,09-21-2026 21:18:59:817,-198844.561,110147.206,130066.053,65857.672,120335.265,22989.529,-169002.97,47819.322
30.48,09-21-2026 21:18:59:821,-194415.16,114759.623,129498.318,68206.572,119597.121,31606.216,-163203.363,50964.481
30.484,09-21-2026 21:18:59:825,-187674.768,121778.518,128703.49,70261.859,118939.712,41607.728,-154310.632,52498.704
30.488,09-21-2026 21:18:59:829,-186615.564,122881.487,128646.717,70004.948,119251.116,41915.466,-152635.19,51194.614
30.492,09-21-2026 21:18:59:833,-193548.539,115561.782,129509.673,67142.226,120069.995,30067.522,-161914.562,48164.522
30.496,09-21-2026 21:18:59:837,-198844.561,110147.206,130088.762,65857.672,120335.265,22989.529,-169002.97,47742.611
30.5,09-21-2026 21:18:59:841,-194800.326,114258.273,129555.092,68096.467,119631.722,30990.738,-163847.764,50811.058
30.504,09-21-2026 21:18:59:845,-187768.78,121696.487,128756.24,70300.036,118942.573,41586.315,-154445.324,52478.722
30.508,09-21-2026 21:18:59:849,-187473.737,121902.123,128779.218,69693.589,119315.936,40688.043,-153919.074,50931.981
30.512,09-21-2026 21:18:59:853,-195341.551,113676.681,129732.788,66625.678,120191.007,27812.812,-164575.626,47722.494
